le chat,cat
le chien,dog
l'oiseau,bird
le poisson,fish
l'assiette,plate
la cuisine,kitchen
la fourchette,fork
la cuillère,spoon
le couteau,knife
le bol,bowl
le pain,bread
l'oeuf,egg
le vin,wine
la bière,beer
le dejeuner,lunch
le dîner,dinner
le petit dejeuner,breakfast
le café,coffee
la cafetière,coffee maker
le verre,drinking glass
la tasse,cup
la serviette,napkin
la chemise,shirt
le pantalon,pants
les chaussures,shoes
les chaussettes,socks
la robe,dress
le lit,bed
la maison,house
l'appartement,apartment
la chamber à coucher,bedroom
la salle de séjour,living room
le bureau,"office, desk"
la salle à manger,dining room
la salle de bains,bathroom
la cuisinière,stove
le four,oven
le sofa,couch
le téléviseur,TV set
le lecteur DVD,DVD player
le tapis,rug
la porte,door
le fauteuil,armchair
la fenêtre,window
le rideau,curtain
la lampe,lamp
l'ordinateur,computer
l'imprimante,printer
le moniteur,monitor
le papier,paper
le stylo,pen
le crayon,pencil
la souris,mouse (computer)
le clavier,keyboard
la chaîne hi-fi,stereo
les haut-parleurs,speakers
le classeur,file cabinet
le meuble,piece of furniture
l’étagère,bookshelf
le livre,book
le lecteur CD,CD player
le jardin,garden
la pelouse,lawn
le gazon,grass
"le portatif, le mobile",cell phone
le portable,laptop
la déchiqueteuse,shredder
la photo,photo
l’évier,kitchen sink
le logiciel,software
marron,brown
noir,black
rouge,red
bleu,blue
jaune,yellow
orange,orange
vert,green
violet,purple
blanc,white
l’épice,spice
l'epicerie,grocery store
le supermarché,supermarket
la voiture,car
la rue,street
le magasin,store
le restaurant,restaurant
la mairie,city hall
le bar,bar
le café,café
l’école,school
le lycée,high school
l’université,university
le collège,junior high
le parc,park
l'autobus,bus
le train,train
le policier,police officer
le pompier,fire fighter
le fromage,cheese
le beurre,butter
la salade,salad
le jambon,ham
la boeuf,beef
le poulet,chicken
la superette,minimart
l'autoroute,highway
le carrefour,intersection
le cinéma,movie theatre
la laisse,leash
le trottoir,sidewalk
l'aeroport,airport
l'avion,airplane
la gare,train station
l’hôtel,hotel
la poste,post office
la mère,mother
le père,father
le fils,son
la fille,daughter
le bébé,baby
l'enfant,child
grandmère,grandmother
grandpère,grandfather
la tante,aunt
l'oncle,uncle
la nièce ,niece
le neveu,nephew
cousin,cousin
la belle-mère,mother-in-law
le beau-père,father-in-law
le beau-frère,brother-in-law
la belle-soeur,sister-in-law
l'ami,friend
l'ennemi,enemy
l'amitié,friendship
époux,husband
épouse,wife
petit ami,boyfriend
petite amie,girlfriend
le voisin,neighbor
la douche,shower
le lavabo,bathroom sink
la toilette,toilet
le baignoire,bath tub
le cuisson,cushion
le fichu,scarf
la jupe,skirt
la veste,jacket
le manteau,coat
le chapeau,hat
le sac,purse
le sac a dos,backpack
la tomate,tomato
le volant,steering wheel
la roue,wheel
le pneu,tire
la bicyclette,bicycle
la portiere,car door
le frein,brake (car)
la motocyclette,motorcycle
le retroviseur,rearview mirror
le capot,hood
le coffre,trunk
l’essuie-glace,windshield wiper
la phare,headlight
le pare-chocs,bumper
le/la vitre,car window
le pare-brise ,windshield
la boîte à outils,toolbox
le marteau,hammer
le tournevis,screwdriver
l’écran,computer screen
les ciseaux,scissors
le réseau,network
le mot de passe,password
le lecteur CD-ROM,CD-ROM drive
télécharger,to download
l’accueil,homepage
le repertoire,directory
la table basse,coffee table
la moquette,carpet
le parquet,wood floor
la prise,plug
le fichier,file
le mail,email
l'huile,oil
l'ail,garlic
le thé,tea
la tzigane,herbal tea
la mer,sea
l'ocean,ocean
le pays,country
la chaîne,channel (TV)
le projet,project
le/la gestionnaire de projet,project manager
le patron,boss
l'employe,employee
sale,dirty
net,clean
les soldes,sale (discount)
les affaires,business
l'immeuble,building
le brouillard,fog
la pluie,rain
ensoleillé,sunny
la neige,snow
l'été,summer
l'hiver,winter
le printemps,spring
l'automne,autumn
les vacances,vacation
le week-end,weekend
lundi,Monday
mardi,Tuesday
mercredi,Wednesday
jeudi,Thursday
vendredi,Friday
samedi,Saturday
dimanche,Sunday
le jour férié,holiday
l'anniversaire,birthday
le chocolat,chocolate
la supercherie,"trick, trickery"
